user_id,batch,question_i,answeronly,withexplanation,withexplanationquality,ground_truth,setting,source_tag,dataset_group,version_tag,quality_type,quality_format,presentation_label,answeronly_is_accept,answeronly_is_reject,answeronly_is_unsure,withexplanation_is_accept,withexplanation_is_reject,withexplanation_is_unsure,withexplanationquality_is_accept,withexplanationquality_is_reject,withexplanationquality_is_unsure
660ec4452539f6860b02db7a,000_3users,0,2,0,0,0,vf_numeric_llava1.5_with_image_q20_i10_s0,df_map,with_image,v1,vf,numeric,vf_num,False,False,True,True,False,False,True,False,False
660ec4452539f6860b02db7a,000_3users,1,2,0,0,0,vf_numeric_llava1.5_with_image_q20_i10_s0,df_map,with_image,v1,vf,numeric,vf_num,False,False,True,True,False,False,True,False,False
660ec4452539f6860b02db7a,000_3users,2,2,1,1,1,vf_numeric_llava1.5_with_image_q20_i10_s0,df_map,with_image,v1,vf,numeric,vf_num,False,False,True,False,True,False,False,True,False
660ec4452539f6860b02db7a,000_3users,3,2,2,0,0,vf_numeric_llava1.5_with_image_q20_i10_s0,df_map,with_image,v1,vf,numeric,vf_num,False,False,True,False,False,True,True,False,False
660ec4452539f6860b02db7a,000_3users,4,2,1,1,0,vf_numeric_llava1.5_with_image_q20_i10_s0,df_map,with_image,v1,vf,numeric,vf_num,False,False,True,False,True,False,False,True,False
660ec4452539f6860b02db7a,000_3users,5,2,1,1,1,vf_numeric_llava1.5_with_image_q20_i10_s0,df_map,with_image,v1,vf,numeric,vf_num,False,False,True,False,True,False,False,True,False
660ec4452539f6860b02db7a,000_3users,6,2,1,1,1,vf_numeric_llava1.5_with_image_q20_i10_s0,df_map,with_image,v1,vf,numeric,vf_num,False,False,True,False,True,False,False,True,False
660ec4452539f6860b02db7a,000_3users,7,2,0,0,0,vf_numeric_llava1.5_with_image_q20_i10_s0,df_map,with_image,v1,vf,numeric,vf_num,False,False,True,True,False,False,True,False,False
660ec4452539f6860b02db7a,000_3users,8,2,0,0,1,vf_numeric_llava1.5_with_image_q20_i10_s0,df_map,with_image,v1,vf,numeric,vf_num,False,False,True,True,False,False,True,False,False
660ec4452539f6860b02db7a,000_3users,9,2,0,0,1,vf_numeric_llava1.5_with_image_q20_i10_s0,df_map,with_image,v1,vf,numeric,vf_num,False,False,True,True,False,False,True,False,False
